sentiment_class	text	pre_clean_len_text	clean_text	clean_len_text
1	@stellargirl I loooooooovvvvvveee my Kindle2. Not that the DX is cool, but the 2 is fantastic in its own right.	111	i loooooooovvvvvveee my kindle not that the dx is cool but the is fantastic in its own right	92
1	Reading my kindle2...  Love it... Lee childs is good read.	58	reading my kindle love it lee childs is good read	49
1	Ok, first assesment of the #kindle2 ...it fucking rocks!!!	58	ok first assesment of the kindle it fucking rocks	49
1	@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :)	140	you ll love your kindle i have had mine for few months and never looked back the new big one is huge no need for remorse	120
1	@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :)	75	fair enough but i have the kindle and i think it perfect	56
1	@richardebaker no. it is too big. I'm quite happy with the Kindle2.	67	no it is too big i am quite happy with the kindle	49
0	Fuck this economy. I hate aig and their non loan given asses.	61	fuck this economy i hate aig and their non loan given asses	59
1	Jquery is my new best friend.	29	jquery is my new best friend	28
1	Loves twitter	13	loves twitter	13
1	how can you not love Obama? he makes jokes about himself.	57	how can you not love obama he makes jokes about himself	55
0	@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism	140	i firmly believe that obama pelosi have zero desire to be civil it charade and slogan but they want to destroy conservatism	123
1	House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation	106	house correspondents dinner was last night whoopi barbara and sherri went obama got standing ovation	100
1	Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!	98	watchin espn jus seen this new nike commerical with puppet lebron sh was hilarious lmao	87
0	dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x	95	dear nike stop with the flywire that shit is waste of science and ugly love	75
1	#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2	135	lebron best athlete of our generation if not all time basketball related i do not want to get into inter sport debates about	124
0	I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.	136	i was talking to this guy last night and he was telling me that he is die hard spurs fan he also told me that he hates lebron james	131
1	i love lebron. http://bit.ly/PdHur	34	i love lebron	13
0	@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end.	74	lebron is beast but i am still cheering the til the end	55
1	@Pmillzz lebron IS THE BOSS	27	lebron is the boss	18
1	@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol	88	lebron is hometown hero to me lol i love the lakers but let go cavs lol	71
1	lebron and zydrunas are such an awesome duo	43	lebron and zydrunas are such an awesome duo	43
1	@wordwhizkid Lebron is a beast... nobody in the NBA comes even close.	69	lebron is beast nobody in the nba comes even close	50
1	downloading apps for my iphone! So much fun :-) There literally is an app for just about anything.	98	downloading apps for my iphone so much fun there literally is an app for just about anything	92
1	good news, just had a call from the Visa office, saying everything is fine.....what a relief! I am sick of scams out there! Stealing!	133	good news just had call from the visa office saying everything is fine what relief i am sick of scams out there stealing	120
1	http://twurl.nl/epkr4b - awesome come back from @biz (via @fredwilson)	70	awesome come back from via	26
1	In montreal for a long weekend of R&amp;R. Much needed.	55	in montreal for long weekend of randr much needed	49
1	Booz Allen Hamilton has a bad ass homegrown social collaboration platform. Way cool!  #ttiv	91	booz allen hamilton has bad ass homegrown social collaboration platform way cool ttiv	85
1	[#MLUC09] Customer Innovation Award Winner: Booz Allen Hamilton -- http://ping.fm/c2hPP	87	mluc customer innovation award winner booz allen hamilton	57
