	Negative	Positive	TotalFreq
aa	9	7	16
aaa	8	2	10
aaaa	2	3	5
aaaaa	3	0	3
aaaaaa	0	1	1
aaaaaaa	1	0	1
aaaaaaaa	3	0	3
aaaaaaaaa	2	0	2
aaaaaaaaaa	1	0	1
aaaaaaaaaaaaaaah	2	0	2
aaaaaaaaaaaaaaw	0	1	1
aaaaaaaaaaaw	1	0	1
aaaaaaaaariel	1	0	1
aaaaaaaah	2	0	2
aaaaaaaall	0	1	1
aaaaaaages	1	0	1
aaaaaaah	0	1	1
aaaaaaargggghh	1	0	1
aaaaaages	0	1	1
aaaaaaghhhhh	1	0	1
aaaaaah	0	2	2
aaaaaahh	1	0	1
aaaaaall	1	0	1
aaaaaand	1	0	1
aaaaagh	0	1	1
aaaaah	2	2	4
aaaaahhh	1	0	1
aaaaahhhh	1	0	1
aaaaahhhhh	1	1	2
aaaaannnnd	1	0	1
aaaaargh	1	0	1
aaaaarrrrrrr	0	1	1
aaaaaw	0	1	1
aaaagghh	1	0	1
aaaah	3	2	5
aaaahh	1	1	2
aaaahhh	1	2	3
aaaahhhh	1	0	1
aaaahhhhh	0	1	1
aaaahhhhhhhhh	1	0	1
aaaall	0	1	1
aaaand	1	2	3
aaaargh	4	2	6
aaaarrgghh	1	0	1
aaaarrrgghhhh	1	0	1
aaaaw	1	1	2
aaaawwww	1	0	1
aaaayyyyyy	0	1	1
aaackk	0	1	1
aaages	1	1	2
aaaggghhh	1	0	1
aaah	6	6	12
aaahahha	1	0	1
aaahh	1	2	3
aaahhh	2	0	2
aaahhhh	1	2	3
aaahhhhhhhhh	1	1	2
aaajaayradd	1	0	1
aaand	1	2	3
aaarggh	1	0	1
aaargh	1	0	1
aaarrggghh	1	0	1
aaarrgh	1	0	1
aaaw	3	2	5
aaawe	1	0	1
aaaww	0	1	1
aaawww	0	1	1
aaay	1	0	1
aachen	0	1	1
aaffrriiccaa	1	0	1
aagh	0	1	1
aah	7	9	16
aahah	0	1	1
aahh	2	1	3
aahhh	0	2	2
aahhhh	1	0	1
aaja	1	0	1
aak	1	0	1
aakash	0	1	1
aaliyah	1	0	1
aall	2	0	2
aalliicciaa	0	1	1
aamar	0	1	1
aandb	0	1	1
aandd	1	0	1
aande	3	1	4
aandf	2	0	2
aandp	1	0	1
aandr	0	1	1
aandw	0	1	1
aane	0	3	3
aar	2	1	3
aaran	0	1	1
aardvark	0	1	1
aargh	4	1	5
aarghhh	1	0	1
aaron	15	6	21
aarons	2	0	2
aarrgh	1	0	1
aarrrrr	0	1	1
aas	0	1	1
aashrit	0	1	1
aata	0	2	2
aate	0	1	1
aau	0	1	1
aaustralia	0	1	1
aaw	4	2	6
aaww	0	3	3
aaya	0	1	1
aayy	1	0	1
ab	6	5	11
abad	1	0	1
abalone	1	0	1
abandon	3	0	3
abandoned	8	1	9
abandonment	1	0	1
abangmu	0	1	1
abba	0	1	1
abberly	1	0	1
abbey	3	4	7
abbi	1	0	1
abbie	3	0	3
abbreviated	0	1	1
abby	3	4	7
abbyandmeredith	0	1	1
abc	8	10	18
abcd	0	1	1
abcess	1	0	1
abd	2	0	2
abdc	0	1	1
abdominal	1	0	1
abdul	0	1	1
abe	0	2	2
abel	1	1	2
abend	0	1	1
aber	1	2	3
abercrombie	1	0	1
aberdeen	3	1	4
aberystwyth	1	0	1
